report,date_range,row_index,query,clicks,impressions,ctr,avg_position
gsc_queries,"Mar 1-Mar 26, 2026",total,Total,0,1162,0%,81.16
gsc_queries,"Mar 1-Mar 26, 2026",1,gift idea generator ai,0,61,0%,78.67
gsc_queries,"Mar 1-Mar 26, 2026",2,gift generator ai,0,59,0%,78.66
gsc_queries,"Mar 1-Mar 26, 2026",3,perfect gift ai,0,57,0%,81.65
gsc_queries,"Mar 1-Mar 26, 2026",4,ai gift generator,0,56,0%,80.45
gsc_queries,"Mar 1-Mar 26, 2026",5,ai gift generator free,0,51,0%,75.27
gsc_queries,"Mar 1-Mar 26, 2026",6,best gift generator ai,0,50,0%,80.96
gsc_queries,"Mar 1-Mar 26, 2026",7,birthday gift generator ai,0,50,0%,85.50
gsc_queries,"Mar 1-Mar 26, 2026",8,best ai gift generator,0,46,0%,66.52
gsc_queries,"Mar 1-Mar 26, 2026",9,ai gift ideas generator,0,43,0%,76.56
gsc_queries,"Mar 1-Mar 26, 2026",10,ai gift idea generator google,0,34,0%,80.21
gsc_queries,"Mar 1-Mar 26, 2026",11,best ai gift idea generator,0,32,0%,77.66
gsc_queries,"Mar 1-Mar 26, 2026",12,ai gift idea generator,0,31,0%,77.74
gsc_queries,"Mar 1-Mar 26, 2026",13,ai gift idea generator free,0,31,0%,73.58
gsc_queries,"Mar 1-Mar 26, 2026",14,ai gift finder,0,30,0%,82.03
gsc_queries,"Mar 1-Mar 26, 2026",15,ai gift finder birthday,0,29,0%,85.14
gsc_queries,"Mar 1-Mar 26, 2026",16,birthday gift ideas ai,0,29,0%,90.97
gsc_queries,"Mar 1-Mar 26, 2026",17,ai gift idea generator today show,0,28,0%,88.61
gsc_queries,"Mar 1-Mar 26, 2026",18,unique gift ideas ai,0,28,0%,79.07
gsc_queries,"Mar 1-Mar 26, 2026",19,gift ideas ai,0,26,0%,82.69
gsc_queries,"Mar 1-Mar 26, 2026",20,ai gift ideas generator for girlfriend,0,24,0%,91.75
gsc_queries,"Mar 1-Mar 26, 2026",21,cool gift ideas ai,0,24,0%,89.54
gsc_queries,"Mar 1-Mar 26, 2026",22,gift ai generator,0,22,0%,80.82
gsc_queries,"Mar 1-Mar 26, 2026",23,gift ai,0,21,0%,85.14
gsc_queries,"Mar 1-Mar 26, 2026",24,gift finder ai,0,18,0%,78.39
gsc_queries,"Mar 1-Mar 26, 2026",25,ai gift finder free,0,17,0%,79.12
gsc_queries,"Mar 1-Mar 26, 2026",26,ai gift,0,15,0%,79.00
gsc_queries,"Mar 1-Mar 26, 2026",27,christmas gift generator ai,0,14,0%,84.29
gsc_queries,"Mar 1-Mar 26, 2026",28,gift selection ai,0,14,0%,88.71
gsc_queries,"Mar 1-Mar 26, 2026",29,gift idea generator,0,13,0%,87.23
gsc_queries,"Mar 1-Mar 26, 2026",30,gift suggestion ai,0,13,0%,90.31
gsc_queries,"Mar 1-Mar 26, 2026",31,gifts for plant lovers,0,13,0%,85.00
gsc_queries,"Mar 1-Mar 26, 2026",32,ai gift ideas,0,12,0%,92.42
gsc_queries,"Mar 1-Mar 26, 2026",33,ai gift generator today show,0,10,0%,71.40
