report,date_range,row_index,query,clicks,impressions,ctr,avg_position
gsc_queries,"Apr 9-May 13, 2026",total,Total,0,202,0%,81.08
gsc_queries,"Apr 9-May 13, 2026",1,gift generator,0,24,0%,85.79
gsc_queries,"Apr 9-May 13, 2026",2,gift ai,0,8,0%,86.63
gsc_queries,"Apr 9-May 13, 2026",3,gift idea ai,0,8,0%,79.88
gsc_queries,"Apr 9-May 13, 2026",4,ai gift finder,0,7,0%,80.00
gsc_queries,"Apr 9-May 13, 2026",5,ai gift generator,0,6,0%,76.33
gsc_queries,"Apr 9-May 13, 2026",6,ai gift idea generator,0,6,0%,73.50
gsc_queries,"Apr 9-May 13, 2026",7,christmas present generator,0,6,0%,91.00
gsc_queries,"Apr 9-May 13, 2026",8,best gift generator ai,0,5,0%,81.40
gsc_queries,"Apr 9-May 13, 2026",9,christmas gift generator,0,5,0%,93.40
gsc_queries,"Apr 9-May 13, 2026",10,gift ai finder,0,5,0%,66.00
gsc_queries,"Apr 9-May 13, 2026",11,gift idea generator ai,0,5,0%,70.20
gsc_queries,"Apr 9-May 13, 2026",12,gift selection ai,0,5,0%,80.00
gsc_queries,"Apr 9-May 13, 2026",13,ai gift generator free,0,4,0%,72.25
gsc_queries,"Apr 9-May 13, 2026",14,ai gift ideas generator,0,4,0%,70.50
gsc_queries,"Apr 9-May 13, 2026",15,christmas gift generator ai,0,4,0%,97.75
gsc_queries,"Apr 9-May 13, 2026",16,gift finder,0,4,0%,83.25
gsc_queries,"Apr 9-May 13, 2026",17,gift finder ai,0,4,0%,75.00
gsc_queries,"Apr 9-May 13, 2026",18,gift ideas ai,0,4,0%,83.25
gsc_queries,"Apr 9-May 13, 2026",19,ai gift,0,3,0%,77.00
gsc_queries,"Apr 9-May 13, 2026",20,ai gift idea generator google,0,3,0%,83.33
gsc_queries,"Apr 9-May 13, 2026",21,best ai gift generator,0,3,0%,67.67
gsc_queries,"Apr 9-May 13, 2026",22,birthday gift generator ai,0,3,0%,96.67
gsc_queries,"Apr 9-May 13, 2026",23,gift ai generator,0,3,0%,67.33
gsc_queries,"Apr 9-May 13, 2026",24,gift generator ai,0,3,0%,77.33
gsc_queries,"Apr 9-May 13, 2026",25,gift ideas generator,0,3,0%,75.00
gsc_queries,"Apr 9-May 13, 2026",26,gift suggestion ai,0,3,0%,86.33
gsc_queries,"Apr 9-May 13, 2026",27,perfect gift ai,0,3,0%,87.33
gsc_queries,"Apr 9-May 13, 2026",28,present generator,0,3,0%,88.33
gsc_queries,"Apr 9-May 13, 2026",29,random gift generator,0,3,0%,87.00
