report,date_range,row_index,channel,source_medium,sessions,engaged_sessions,engagement_rate,avg_engagement_time_per_session,events_per_session,event_count
traffic_source_medium,"Jan 1-Feb 15, 2026",total,Total,Total,414,154,37.2%,20s,5.43,2250
traffic_source_medium,"Jan 1-Feb 15, 2026",1,Unassigned,"chatgpt.com / (not set)",190,51,26.84%,8s,4.63,879
traffic_source_medium,"Jan 1-Feb 15, 2026",2,Referral,"chatgpt.com / referral",110,57,51.82%,28s,6.26,689
traffic_source_medium,"Jan 1-Feb 15, 2026",3,Direct,"(direct) / (none)",39,9,23.08%,18s,6.36,248
traffic_source_medium,"Jan 1-Feb 15, 2026",4,Organic Search,"bing / organic",38,24,63.16%,1m 03s,7.58,288
traffic_source_medium,"Jan 1-Feb 15, 2026",5,Organic Search,"duckduckgo / organic",11,9,81.82%,48s,6.09,67
traffic_source_medium,"Jan 1-Feb 15, 2026",6,Organic Search,"google / organic",10,2,20%,10s,3.90,39
traffic_source_medium,"Jan 1-Feb 15, 2026",7,Unassigned,"(not set)",9,0,0%,6s,1.44,13
traffic_source_medium,"Jan 1-Feb 15, 2026",8,Organic Social,"m.facebook.com / referral",2,0,0%,0s,3.50,7
traffic_source_medium,"Jan 1-Feb 15, 2026",9,Organic Search,"uk.search.yahoo.com / referral",1,0,0%,0s,3.00,3
traffic_source_medium,"Jan 1-Feb 15, 2026",10,Organic Search,"yahoo / organic",1,1,100%,1m 07s,7.00,7
traffic_source_medium,"Jan 1-Feb 15, 2026",11,Organic Social,"facebook.com / referral",1,1,100%,6s,4.00,4
traffic_source_medium,"Jan 1-Feb 15, 2026",12,Referral,"copilot.com / referral",1,0,0%,0s,3.00,3
traffic_source_medium,"Jan 1-Feb 15, 2026",13,Unassigned,"perplexity / (not set)",1,0,0%,0s,3.00,3
traffic_source_medium,"Mar 1-Mar 26, 2026",total,Total,Total,179,67,37.43%,22s,6.11,1093
traffic_source_medium,"Mar 1-Mar 26, 2026",1,Unassigned,"chatgpt.com / (not set)",87,17,19.54%,6s,4.79,417
traffic_source_medium,"Mar 1-Mar 26, 2026",2,Referral,"chatgpt.com / referral",39,20,51.28%,12s,5.79,226
traffic_source_medium,"Mar 1-Mar 26, 2026",3,Organic Search,"bing / organic",21,16,76.19%,1m 45s,14.62,307
traffic_source_medium,"Mar 1-Mar 26, 2026",4,Direct,"(direct) / (none)",15,3,20%,7s,4.00,60
traffic_source_medium,"Mar 1-Mar 26, 2026",5,Organic Search,"duckduckgo / organic",5,1,20%,25s,4.20,21
traffic_source_medium,"Mar 1-Mar 26, 2026",6,Organic Search,"yahoo / organic",3,3,100%,12s,5.00,15
traffic_source_medium,"Mar 1-Mar 26, 2026",7,Organic Search,"ecosia.org / organic",2,2,100%,51s,5.50,11
traffic_source_medium,"Mar 1-Mar 26, 2026",8,Unassigned,"(not set)",2,0,0%,0s,1.00,2
traffic_source_medium,"Mar 1-Mar 26, 2026",9,Organic Search,"cn.bing.com / referral",1,1,100%,4m 30s,6.00,6
traffic_source_medium,"Mar 1-Mar 26, 2026",10,Organic Search,"sg.search.yahoo.com / referral",1,1,100%,9s,7.00,7
traffic_source_medium,"Mar 1-Mar 26, 2026",11,Organic Search,"yandex.ru / referral",1,1,100%,30s,10.00,10
traffic_source_medium,"Mar 1-Mar 26, 2026",12,Organic Social,"l.facebook.com / referral",1,1,100%,2m 08s,5.00,5
traffic_source_medium,"Mar 1-Mar 26, 2026",13,Organic Social,"m.facebook.com / referral",1,1,100%,0s,6.00,6
traffic_source_medium,"Apr 9-May 13, 2026",total,Total,Total,145,70,48.28%,1m 05s,6.93,1005
traffic_source_medium,"Apr 9-May 13, 2026",1,Organic Search,"bing / organic",50,27,54%,1m 18s,7.30,365
traffic_source_medium,"Apr 9-May 13, 2026",2,Direct,"(direct) / (none)",27,9,33.33%,40s,6.89,186
traffic_source_medium,"Apr 9-May 13, 2026",3,Unassigned,"chatgpt.com / (not set)",19,7,36.84%,7s,4.47,85
traffic_source_medium,"Apr 9-May 13, 2026",4,Referral,"chatgpt.com / referral",18,9,50%,44s,7.39,133
traffic_source_medium,"Apr 9-May 13, 2026",5,Organic Search,"duckduckgo / organic",14,8,57.14%,3m 00s,8.14,114
traffic_source_medium,"Apr 9-May 13, 2026",6,Organic Search,"yahoo / organic",5,3,60%,1m 11s,7.20,36
traffic_source_medium,"Apr 9-May 13, 2026",7,Organic Social,"m.facebook.com / referral",3,1,33.33%,2s,3.67,11
traffic_source_medium,"Apr 9-May 13, 2026",8,Unassigned,"dubgtcg.dbz / (not set)",3,1,33.33%,2s,6.00,18
traffic_source_medium,"Apr 9-May 13, 2026",9,Organic Search,"ecosia.org / organic",2,1,50%,50s,7.00,14
traffic_source_medium,"Apr 9-May 13, 2026",10,Organic Search,"ca.search.yahoo.com / referral",1,1,100%,5m 40s,12.00,12
traffic_source_medium,"Apr 9-May 13, 2026",11,Organic Search,"gr.search.yahoo.com / referral",1,1,100%,2m 30s,12.00,12
traffic_source_medium,"Apr 9-May 13, 2026",12,Organic Search,"in.search.yahoo.com / referral",1,1,100%,32s,8.00,8
traffic_source_medium,"Apr 9-May 13, 2026",13,Organic Social,"l.facebook.com / referral",1,0,0%,0s,3.00,3
traffic_source_medium,"Apr 9-May 13, 2026",14,Referral,"copilot.com / referral",1,1,100%,57s,8.00,8
