report,date_range,row_index,landing_page,clicks,impressions,ctr,avg_position
gsc_pages,"Mar 1-Mar 26, 2026",1,/,1,1203,0.08%,80.60
gsc_pages,"Mar 1-Mar 26, 2026",2,/blog/,0,2,0%,1.50
gsc_pages,"Mar 1-Mar 26, 2026",3,/blog/25-amazing-gifts-from-black-owned-businesses-under-75/,0,1,0%,100.00
gsc_pages,"Mar 1-Mar 26, 2026",4,/blog/25-books-to-gift-this-holiday-season/,0,3,0%,79.00
gsc_pages,"Mar 1-Mar 26, 2026",5,/blog/?page=2,0,1,0%,7.00
gsc_pages,"Mar 1-Mar 26, 2026",6,/blog/?page=4,0,1,0%,8.00
gsc_pages,"Mar 1-Mar 26, 2026",7,/blog/ai-powered-gift-ideas-for-every-budget/,0,7,0%,68.29
gsc_pages,"Mar 1-Mar 26, 2026",8,/blog/ai-tiktok-made-me-buy-it-gifts-2025/,0,1,0%,11.00
gsc_pages,"Mar 1-Mar 26, 2026",9,/blog/be-rooted-planners-stationery/,0,4,0%,44.25
gsc_pages,"Mar 1-Mar 26, 2026",10,/blog/best-2025-holiday-gifts-ai-tech-remote-work/,0,1,0%,9.00
gsc_pages,"Mar 1-Mar 26, 2026",11,/blog/best-books-for-different-reading-levels/,0,1,0%,33.00
gsc_pages,"Mar 1-Mar 26, 2026",12,/blog/best-home-gifts-on-amazon-2024/,0,4,0%,66.75
gsc_pages,"Mar 1-Mar 26, 2026",13,/blog/gaming-gifts-2025/,0,2,0%,7.50
gsc_pages,"Mar 1-Mar 26, 2026",14,/blog/gifts-for-new-grandparents/,0,3,0%,56.67
gsc_pages,"Mar 1-Mar 26, 2026",15,/blog/gifts-for-plant-lovers/,0,19,0%,75.74
gsc_pages,"Mar 1-Mar 26, 2026",16,/blog/unique-graduation-gifts-creative-minds/,0,1,0%,10.00
gsc_pages,"Mar 1-Mar 26, 2026",17,/contact/,0,4,0%,3.75
gsc_pages,"Mar 1-Mar 26, 2026",18,/data-deletion/,0,2,0%,5.50
gsc_pages,"Mar 1-Mar 26, 2026",19,/privacy/,0,2,0%,2.50
gsc_pages,"Mar 1-Mar 26, 2026",20,/terms/,0,2,0%,3.50
gsc_pages,"Apr 9-May 13, 2026",total,Total,0,292,0%,62.03
gsc_pages,"Apr 9-May 13, 2026",1,/,0,203,0%,79.90
gsc_pages,"Apr 9-May 13, 2026",2,/blog/,0,4,0%,2.00
gsc_pages,"Apr 9-May 13, 2026",3,/blog/25-books-to-gift-this-holiday-season/,0,4,0%,85.50
gsc_pages,"Apr 9-May 13, 2026",4,/blog/25-thoughtful-housewarming-gifts-for-new-homeowners-under-75/,0,1,0%,14.00
gsc_pages,"Apr 9-May 13, 2026",5,/blog/be-rooted-planners-stationery/,0,5,0%,19.20
gsc_pages,"Apr 9-May 13, 2026",6,/blog/best-books-for-different-reading-levels/,0,1,0%,59.00
gsc_pages,"Apr 9-May 13, 2026",7,/blog/best-home-gifts-on-amazon-2024/,0,7,0%,51.00
gsc_pages,"Apr 9-May 13, 2026",8,/blog/christmas-gift-ideas-2025/,0,17,0%,11.94
gsc_pages,"Apr 9-May 13, 2026",9,/blog/gaming-gifts-2025/,0,18,0%,3.56
gsc_pages,"Apr 9-May 13, 2026",10,/blog/gifts-under-25-for-coworkers/,0,12,0%,55.25
gsc_pages,"Apr 9-May 13, 2026",11,/contact/,0,4,0%,5.00
gsc_pages,"Apr 9-May 13, 2026",12,/data-deletion/,0,4,0%,6.00
gsc_pages,"Apr 9-May 13, 2026",13,/privacy/,0,5,0%,2.60
gsc_pages,"Apr 9-May 13, 2026",14,/terms/,0,5,0%,3.40
gsc_pages,"Apr 9-May 13, 2026",15,/thoughtful-gift-ideas/,0,2,0%,7.00
gsc_pages,"Apr 9-May 13, 2026",17,/blog/80th-birthday-gift-ideas-seniors/,0,0,0%,0.00
gsc_pages,"Apr 9-May 13, 2026",18,/blog/gift-giving-statistics-what-people-really-want/,0,0,0%,0.00
